############################################################
# SHIM CENSUS: 245 inline shims in stdafx_linux.h
#   adapt=2, noop-const=114, noop-risky=69, real=60
# NOTE: classification is heuristic triage, not an audited verdict.
# 'noop-risky' entries need human review (do they break callers?).
############################################################
shim_name	classification	caller_count	callers	signature
GetWindowLong	noop-risky	8	source/WinGroup.cpp,source/application.cpp,source/error.cpp,source/lib/InputBox.cpp,source/lib/win.cpp,source/script_autoit.cpp,source/script_gui.cpp,source/window.cpp	{
ScrollWindow	noop-const	1	source/error.cpp	{
DialogBoxParam	real	2	source/error.cpp,source/lib/InputBox.cpp	{
OutputDebugString	noop-const	3	source/error.cpp,source/script2.cpp,source/util.cpp	{
InitializeCriticalSection	noop-const	1	source/script.cpp	{
DeleteCriticalSection	noop-const	1	source/script.cpp	{
EnterCriticalSection	noop-const	1	source/lib/regex.cpp	{
LeaveCriticalSection	noop-const	1	source/lib/regex.cpp	{
OleInitialize	noop-const	1	source/script.cpp	{
OleUninitialize	noop-const	1	source/script.cpp	{
OleFlushClipboard	noop-risky	1	source/script.cpp	{
Shell_NotifyIcon	noop-const	3	source/lib/vars.cpp,source/script.cpp,source/script2.cpp	{
DestroyWindow	noop-risky	3	source/script.cpp,source/script2.cpp,source/script_gui.cpp	{
IsWindow	noop-const	10	source/AutoHotkey.cpp,source/application.cpp,source/defines.h,source/lib/InputBox.cpp,source/lib/wait.cpp,source/lib/win.cpp,source/script.cpp,source/script2.cpp,source/script_gui.cpp,source/window.cpp	{
mciSendString	noop-risky	4	source/lib/drive.cpp,source/lib/sound.cpp,source/script.cpp,source/stdafx.h	{
GetModuleFileName	noop-const	2	source/ahklib.cpp,source/script.cpp	{
GetFullPathName	real	8	source/lib/file.cpp,source/lib/string.cpp,source/lib/vars.cpp,source/linux/core/main_linux.cpp,source/script.cpp,source/script_autoit.cpp,source/script_registry.cpp,source/util.cpp	{
LoadCursor	noop-risky	3	source/lib/vars.cpp,source/script.cpp,source/script_gui.cpp	{
RegisterClassEx	noop-risky	2	source/script.cpp,source/script_gui.cpp	{
GetClassName	noop-const	6	source/application.cpp,source/hook.cpp,source/lib/win.cpp,source/script.cpp,source/script_autoit.cpp,source/window.cpp	{
CreateWindowEx	noop-risky	3	source/script.cpp,source/script2.cpp,source/script_gui.cpp	{
CreateWindow	noop-risky	1	source/script.cpp	{
GetMenu	noop-const	5	source/script.cpp,source/script2.cpp,source/script_autoit.cpp,source/script_gui.cpp,source/script_menu.cpp	{
EnableMenuItem	noop-const	1	source/script.cpp	{
CreateFont	noop-risky	2	source/script.cpp,source/script_gui.cpp	{
SetWindowLong	noop-risky	4	source/application.cpp,source/lib/win.cpp,source/script.cpp,source/script_gui.cpp	{
LoadAccelerators	noop-risky	1	source/script.cpp	{
AddClipboardFormatListener	noop-risky	2	source/script.cpp,source/script2.cpp	{
RemoveClipboardFormatListener	noop-risky	1	source/script.cpp	{
